TEXT;LABEL
ebenso wenig dürfen ich einbürgerungen ohne sprachbeherrschung , ohne selbstversorgung und ohne der bekenntnis zu grundwerten wie religionsfreiheit , körperlich unversehrtheit und gleichberechtigung von mann und frau geben . der koranische selbstverständnis der islam widersprechen all der aber explizit und sein untrennbar mit einer gesellschaftlich machtanspruch samt entsprechend gewaltaufrufen verbinden , der mit mein verfassung unvereinbar sein .;RACISM
der leute erkennen sich land und mein kultur nicht wieder , weil ich immer wenig sich land sein . diese schwäche werden von einer politisch islam ausnutzen , der immer aggressiv auftreten .;RACISM
"ich haben viel muslimische mädchen . während ich noch in der 90ern zum teil der situation haben , dass mädchen mit kopftuch hänseln werden , sein der heute umkehren : ich geraten immer mehr mädchen unter druck , der dies kopftuch nicht tragen . der werden sagen : du ungläubiger , du ziehen der blick der mann auf sich , du schlampe ! – woche für woche kommen lehrerin zu sich und berichten der .";RACISM
mensch wie george floyd werden der deutsch polizei wählen , wenn ich wählen können , wer ich festnehmen soll .;RACISM
der eu-kommission verharmlosen terroranschläge . ich versuchen , berechtigen islamkritik nach islamistischen terroranschlägen zu unterbinden . der islam sein kein rasse , und deshalb können islamkritik niemals rassismus mein .;RACISM
"in deutschland leben mittlerweile mehrer million muslim , der genau anzahl sein unbekannt . der allermeisten von ich sein friedlich und haben nichts böses im sinn . diese leute sein aber nicht friedlich , weil ich muslim sein , sondern obwohl ich muslim sein .";RACISM
nur mit aufklärung , klar kommunikation und konsequent rechtsstaatlichkeit lässt sich der politische islam und damit letztlich der wurzel der terror entscheiden bekämpfen .;RACISM
in anbetracht der 5 million zusätzlich arbeitslose , der danken mein verheerend versagen in der coronakrise mein job verlieren werden , können ich deutschen sich kein weit anreiz erlauben , sämtliche wirtschaftsflüchtlinge und sozialtouristen aus europa und der ganz welt anzulocken .;RACISM
wo sein der demonstration gemäßigt muslim ? richtig , der verstummen schon lang in dies land , in der längst radikale muslim der ton angeben und wirklich flüchtling mein folterknechte und vergewaltiger in auffanglager und auf der straße deutschland treffen .;RACISM
import der menschenbilds der islam und der clangesellschaften – einen kampfansage an mein freiheit ! demokratie sein der islam wesensfremd . religion und staat sein in ich einen einheit . gewalt gegen frau und andersgläubige sein lehrstoff der islam . deshalb : raus mit der umsiedlungsmafia aus der regierung !;RACISM
von der fdp bis zu der linke haben ich platz für theatralisch heulend migranten in weit entfernen land , aber der elend mein mitbürger sein ich egal .;RACISM
migration sein einen form der selbsthilfe . ganz familie entwickeln strategie , um einzeln mitglied der auswanderung zu ermöglichen . durch mein finanzielle unterstützung sorgen der migranten dann dafür , dass der im herkunftsland verbliebene einen gut leben fahren können .;RACISM
"diese mein politik führen natürlich dazu , dass ich inzwischen einen erschrecken hoch ungelerntenquote haben , ich betragen nämlich 14,4 prozent . der sein 2,12 million junge mensch im alt von 20 bis 34. auch hier – ich zitieren nur aus der vorliegend bericht . ich können der alle nachlesen . ich gelten – ich wollen ich wieder nicht hören – : bei migranten sein der quote doppeln so hoch . bei türkischstämmigen mensch haben ich sogar 52 prozent ohne einen ausbildung .";RACISM
wenn man so vorgehen , kommen man zu folgend ergebnis : da , wo der islam zu haus sein , geben ich kein freiheit , kein demokratie , kein rechtsstaat , der mein vorstellung auch nur annähern gleichkommt .;RACISM
diese mensch , meinen dame und herr , sein nicht willens , sich in mein gesellschaft zu integrieren . ich wollen sich nicht an mein gesetz halten . ich stellen mein religiös fanatismus über freiheit , rechtsstaatlichkeit und demokratie .;RACISM
der bürger wissen aus eigen erfahrung : auch in der zweit und dritt generation legen einen beachtlich zahl deutsch staatsbürger mit migrationshintergrund mangelnd bereitschaft oder fähigkeit zur integration an der tag .;RACISM
ich mögen noch mal auf der thema zuwanderung bzw. auf der folge sich gescheitert zuwanderungspolitik zu sprechen kommen . ich haben heute 2 million ausländer im hartz-iv-bezug , ich haben 100 000 ausländer , der ununterbrochen seit 15 jahr hartz iv beziehen . 100 000 ausländer ! auf der ander seite haben ich beschäftigt , der um 4 uhr aufstehen und nach 35 jahr berufserfahrung zum mindestlohn arbeiten und der dann noch steuer zahlen , um dies irrsinn zu finanzieren .;RACISM
herr macron haben im februar erklären , ich wolle der an islamische separatist verloren teil der republik zurückerobern . in dies verloren gebiet der republik lässt sich heute gut kein weißer blicken , erst recht kein jude und auch kein frau , der meinen , über mein aussehen selbst bestimmen zu dürfen .;RACISM
der von der medium wundersam schnellen vergessen party- und eventszene in stuttgart , in der boris palmer viel zugewanderte ausmachen haben , haben ein weit blick in einen zukunft eröffnen , der mit jen golden zukunft , wie ich in eu-hochglanzbroschüren preisen werden und wie ich der herr minister gerade wieder anpreisen haben , wenig zu tun haben .;RACISM
angeklagte werden vor gericht mit einstellung , bewährung oder sonstig wattebäuschen bewerfen , da nicht mein können , was nicht mein dürfen , dass nämlich sich rechtsstaat von ganz bevölkerungsgruppen nicht mehr respektieren und infrage stellen werden .;RACISM
der ganze problem dahinter werden aber gerade nicht sehen . da geben ich dann zum beispiel einen anhörung im rechtsausschuss , und all reden um der elefant im raum herum , dass loriot mein freude daran haben , nämlich dass migrantische milieu der deutsch bevölkerung , der deutsch gesellschaft mein stempel aufdrücken – viel zu oft , viel zu unwidersprochen und zunehmen zum schaden mein rechts- und kulturstaates .;RACISM
der mob , der in stuttgart der staatliche gewaltmonopol herausgefordert und polizeibeamte als staatliche hoheitsträger zielen angreifen haben , rekrutieren sich aus zwei gruppe : aggressive junge mann mit migrationshintergrund und organisieren gewaltbereite linksextremisten .;RACISM
faktisch unbegrenzt und unkontrollierte einwanderung haben dazu führen , dass ich in viel deutsch großstadt inzwischen einen kritisch potenzial an jung mann vornehmlich aus der islamisch-orientalischen kulturkreis geben , der der deutsch staat und der mehrheitsgesellschaft mehr oder mindern offen verachten .;RACISM
islamist und linksextremisten haben sich in dies nacht zusammengetan , um mein rechtsstaat zu destabilisieren . und ich sage gerade ich , der ich der immer vehement leugnen , ganz klaren : wenn ich stuttgart jetzt nicht zum anlass nehmen , um hier konsequent gegensteuern , dann werden auf mein straße immer mehr chaos und gewalt herrschen , und der können und dürfen ich nicht zulassen .;RACISM
stuttgart sein kein event der partyszene , sondern einen gewaltexzess von migranten und linksextremisten .;RACISM
kein deutscher , sondern nur einen passdeutscher !;RACISM
in berlin geben ich gerade wieder ein islamistischen anschlag . wieder einen abgelehnt asylbewerber . rückführung ins erstzutrittsland finnland ? fehlanzeige ! in der irak ? auch nicht . obwohl der „ islamisch staat “ dort besiegen sein . der wollen mit einer wagen auf der autobahn leute totfahren , alle mit „ allahu akbar “ und gebetsteppich .;RACISM
salafisten und muslimbruderschaft unterwandern moschee und verein , und obwohl der verfassungsschutz der groß teilverband der zentralrats der muslim der rechtsextremistischen graue wolf zurechnen , wollen der innenminister weit mit der kuscheln – verharmlosen sein wichtig .;RACISM
der islam sein kein rasse , und deshalb können islamkritik niemals rassismus mein .;RACISM
der tate der mörder im name der islam beweisen ich einmal wieder : der radikale islam hören nicht zu europa , der islam hören nicht zu deutschland .;RACISM
der terrorattacken in nizza , paris , dresden und wien zeigen doch eins ganz deutlich : mein multikultipolitik sein scheitern ! der art der von der derzeitig bundesregierung gewünscht integration sein reine fiktion .;RACISM
der islam hören nicht zu deutschland .;RACISM
in deutschland leben mittlerweile mehrer million muslim , der genau anzahl sein unbekannt . der allermeisten von ich sein friedlich und haben nichts böses im sinn . diese leute sein aber nicht friedlich , weil ich muslim sein , sondern obwohl ich muslim sein .;RACISM
wenn man so vorgehen , kommen man zu folgend ergebnis : da , wo der islam zu haus sein , geben ich kein freiheit , kein demokratie , kein rechtsstaat , der mein vorstellung auch nur annähern gleichkommt . stattdessen finden man dort intoleranz , frauenfeindlichkeit , hass auf homosexuelle , christenverfolgung , steinigung , enthauptung und beispiellos grausamkeit gegenüber tier .;RACISM
ich sein einen illusion , zu glauben , ich geben auch nur einen einzig spielart der islam , der mit mein wertvorstellungen , mit mein grundgesetz kompatibel sein .;RACISM
islam und grundgesetz schließen sich aus .;RACISM
versuch im islamisch kulturkreis , dies einzuhegen , müssen als scheitern ansehen werden .;RACISM
der jung anschlag in nizza , dresden und wien haben zeigen , dass der liberale umgang mit der islam in der europäisch land verfehlen sein und weiterhin sein .;RACISM
diese können nur darin bestehen , der islamisierung mein heimat auf alle ebene zurückdrängen und endlich der mut und der kraft aufbringen , dies land vor der weit islamisierung zu schützen und zu verteidigen .;RACISM
schluss mit der weich welle gegenüber radikal islamist ! ich sein sich land ! ich sein mein kultur ! und der soll auch so bleiben !;RACISM
konkret heißen der , dass man der einflussnahme von imanen , der ungestört hass predigen , unterbinden muss . solch person müssen sofort ausweisen werden , wenn dies rechtlich möglich sein . zudem sollen predigt nur noch in deutsch sprache erlauben mein .;RACISM
ich können nicht mein , dass der muslimbrüder , der milli-görüs-bewegung sowie salafisten in deutschland schalen und walten können , wie ich wollen , und von liberal toleranzschwachmaten dabei noch in schutz nehmen werden .;RACISM
nicht wenig muslim vertreten einen form von islamismus und nutzen der ich garantieren recht auf religionsfreiheit , um ander mensch mein radikalislamisches weltbild zu vermitteln .;RACISM
ertüchtigen ich doch lieb der gesundheitsämter , groß infektionsherde zu lokalisieren : superspreader-events in der großstädtischen erlebnisszene , oft migrantisch prägen .;RACISM
diese mensch , meinen dame und herr , sein nicht willens , sich in mein gesellschaft zu integrieren . ich wollen sich nicht an mein gesetz halten . ich stellen mein religiös fanatismus über freiheit , rechtsstaatlichkeit und demokratie .;RACISM
nur mit aufklärung , klar kommunikation und konsequent rechtsstaatlichkeit lässt sich der politische islam und damit letztlich der wurzel der terror entscheiden bekämpfen .;RACISM
ich brauchen dringen einen ungeschöntes , realistisch kriminalitätslagebild , der eben auch herkunftsländerbezüge bei migranten umfasst . nur so können ich im bereich der sicherheits- , der migrations- , der integrations- , der bildungs- und der sozialpolitik sachgerechte und zielführende entscheidung treffen .;RACISM
der gesetzentwurf leiten der aufenthaltsrecht der eltern als voraussetzung für der sozialleistungsbezug aus der schulbesuch der kind ab . im ergebnis haben arbeitslos geworden eu-bürger mit kind , der in deutschland zur schule gehen , in der regel einen aufenthaltsrecht und recht auf deutsch sozialleistungen wie deutsch staatsbürger . damit haben ich ein weit pull-faktor für der einwanderung in der deutsch sozialsystem schaffen .;RACISM
in anbetracht der 5 million zusätzlich arbeitslose , der danken mein verheerend versagen in der coronakrise mein job verlieren werden , können ich deutschen sich kein weit anreiz erlauben , sämtliche wirtschaftsflüchtlinge und sozialtouristen aus europa und der ganz welt anzulocken .;RACISM
"bisher werden in der polizeiliche kriminalstatistik nur zwischen „ deutschen “ und „ nichtdeutsch “ unterschieden , der sein mein erachten unzureichend . ich müssen zukünftig bei deutsch tatverdächtigen herkunftsländerbezüge ermitteln und dies auch in der polizeiliche kriminalstatistik darstellen . nur so können der problem in mein voll umfang erfasst und darstellen werden .";RACISM
mein märchen vom ach so sicher deutschland und einer heilen multikultiwelt nehmen ich doch sowieso kein mehr ab . der realität lässt sich eben nicht verheimlichen . ich brauchen dringen einen ungeschöntes , realistisch kriminalitätslagebild , der eben auch herkunftsländerbezüge bei migranten umfasst .;RACISM
wo sein der demonstration gemäßigt muslim ? richtig , der verstummen schon lang in dies land , in der längst radikale muslim der ton angeben und wirklich flüchtling mein folterknechte und vergewaltiger in auffanglager und auf der straße deutschland treffen .;RACISM
der fokus der grüne sein mal wieder antideutsch : antideutsch , weil ich sich nicht um mein wirt und gastronomen sorgen , antideutsch , weil ich sich nicht um der alleinerziehende mutter in kurzarbeit kümmern , und antideutsch , weil ich mein landwirt ablehnen . stattdessen konzentrieren sich der grüne darauf , jetzt schuldenschnitte für korrupt diktatur und afrikanische familienclans zu erzwingen .;RACISM
man erkennen , dass man viel zu langen wegschauen haben , wie parallelgesellschaften abdriften , wie fundamentalist ganze viertel übernehmen . laut einer studie sehen 75 prozent der europäisch muslim der koran als „ wörtlich zu nehmen “ an .;RACISM
ich sein auch in deutschland durch der migrationspolitik und der ghetto in duisburg , köln , berlin längst auf der weg in französische verhältnis . ganz gewiss brauchen ich kein weit migration in hunderttausenderstärke aus islamisch land .;RACISM
auch an deutsch schule bahnen sich einen katastrophe an . der deutschen lehrerverband sprechen von einer „ klima der einschüchterung “ durch muslimische schüler und eltern . lehrerin klagen über muslimische schüler , der sich gegenüber frau als macho aufspielen .;RACISM
der können auch bedeuten , dass man einen kopftuch tragen .;OTHER
ja , der kopftuch können tatsächlich zwang bedeuten , und der sein nicht zulässig , weil ich der kindeswohl gefährden .;OTHER
der kopftuch sein einen symbol einer besonder religion , einer bestimmen religion .;OTHER
da ich sich aber offensichtlich , wie mein manisch besessenheit vom kopftuch und vom islam beweisen , sich identität unsicher sein , selber nicht wissen , was ich sein , nicht wissen , was deutsch sein und deshalb wahrscheinlich immer zweifeln und feindbilder suchen , kommen ich auf solche ablenkungsmanöver , und der enden dann in solch antrag , solch fragestellungen und solch wortbeiträgen .;OTHER
gerade so entwerten ich mensch muslimisch glauben , so machen ich muslimische frau zu opfer .;OTHER
auch ich haben einen rassismusproblem , der sein gar kein geheimnis .;OTHER
auch hierzulande werden mensch immer noch aufgrund mein aussehen , sich herkunft und manch auch einfach nur wegen mein name schlecht behandeln .;OTHER
ich glauben , ich sein wichtig , noch einmal zu sagen , dass man der mensch , der gegen rassismus , gegen ausgrenzung , gegen diskriminierung demonstrieren , mit solidarität und unterstützung begegnen sollen .;OTHER
aber der schock sitzen immer noch tief bei der polizeibeamten , der von einer organisieren mob mit maximal brutalität angreifen und der kollege ins krankenhaus prügeln werden , und bei der bürger , der scheinbar friedliche stadt über nacht zum schauplatz von bürgerkriegsähnlichen szene werden .;OTHER
der trümmer in der stuttgarter innenstadt sein wegräumen , der scherbe der zertrümmern schaufenster und geplündert geschäft zusammenfegen .;OTHER
nach der stuttgarter krawallnacht können ich nicht einfach weit so tun , als geben ich kein grundsätzlich problem .;OTHER
vor alle : haben ich in der sitzung der innenausschusses dies woche mal gut zuhören , dann wüssten ich auch , dass von der 37 beschuldigte über der hälfte deutschen sein .;OTHER
auch der polizei sprechen von einer heterogen gruppe . wenn ich nicht mal der polizei glauben , dann sein der mein problem .;OTHER
angesichts ein migrationsanteils von 45 prozent in der stuttgarter bevölkerung sein dies zusammensetzung auch normal . für ich sein ich auch egal , dass der kontrolle ein deutsch jugendliche ausgangspunkt für der ereignis am 21. juni sein . hauptsache , ich können wieder über migrantische jugendliche herziehen !;OTHER
viel jugendliche mit einer sogenannt migrationshintergrund werden weiterhin tagtäglich opfer von rassismus und diskriminierung . dazu gehören auch polizeipraktiken wie racial profiling .;OTHER
der afd betreiben mit mein rassistisch diskurs weiterhin einen gefährlich spiel zur spaltung mein gesellschaft . dabei sein ich selbst der groß gefahr und vor alle der groß sicherheitsrisiko in mein gesellschaft .;OTHER
der bundestagsabgeordnete rené springer haben ein neonazi einstellen , der einer rechtsextrem prepper-gruppe anhören , der sich auf ein „ rassenkrieg “ vorbereiten und sich dafür auch bewaffnen haben .;OTHER
ich machen ich sich mal wieder sehr einfach : für ich sein einfach der migranten schuld .;OTHER
vor alle aber sein ich junge mann – der sein doch der entscheidende – , viel davon stark alkoholisieren . dass man dazu von ich nichts hören , der wundern jetzt , glauben ich , niemand hier .;OTHER
besonders perfid werden ich , wenn in der deatte einen neue kategorie einführen werden , nämlich der sogenannt passdeutschen . was soll der denn bitte mein ? jemand , mit der ich zwar der staatsbürgerschaft teilen , aber der vorfahr vielleicht nicht in der schlacht im teutoburger wald gegen der römer mitkämpfen haben ? meine dame und herr , merken ich eigentlich , auf welch unsägliche tradition ich sich hier berufen ?;OTHER
schon einmal werden in deutschland bürger ausbürgern und werden ich der zugehörigkeit absprechen . der werden ich mit sich nie wieder geben in dies land , meinen dame und herr ! mein identitäres geschwätz widern sich an .;OTHER
ich muss sich sorge bereit , wenn junge mensch mein polizei misstrauen . ich weiß selber , wie sich rassismus anfühlen .;OTHER
ich müssen nämlich dafür sorgen , dass der mensch in dies land gar nicht erst in der fang von extremist , rassisten und antisemit geraten .;OTHER
"ich sein überzeugen : eine stetige , verlässliche demokratieförderung sein auf lang sicht der stark waffe im kampf gegen hass , hetze und extremistische gewalt , für einen solidarische gesellschaft und für einen charakterfeste demokratie , auch in zukunft .";OTHER
dies sein nach der rassistisch mord in hanau , nach der anschlag von halle , nach der mord an walter lübcke , nach der mordserie der nsu , nach über 200 todesopfern rechtsextrem gewalt seit 1990 einen unglaublich entgleisung , der sich herr wanderwitz dort leisten haben .;OTHER
fast all antisemitisch straftat werden von rechtsextremisten begehen , und der messerstecher , von der ich gerne berichten , haben deutsch vorname . wolle ich raten ? michael sein der häufigste . der haben ich im saarland selber nachfragen , weil ich sich einen ander antwort erhoffen haben .;OTHER
in brandenburg bekommen der afd sogar schützenhilfe von einer recht verein , der im wahlkampf überfall durch migranten erfinden , was dann im nachhinein korrigieren werden musste .;OTHER
deswegen mögen ich an dies stelle für der gesamt bundesregierung noch einmal betonen : ich sein auf kein auge blind , ich verfolgen rechtsextremismus , antisemitismus , linksextremismus und islamismus gleichermaßen und schon seit langem mit der geboten härte und konsequenz .;OTHER
ich sagen , ich wollen , dass linksextremismus , rechtsextremismus und islamismus von mein sicherheitsbehörden gleichen behandeln werden . dennoch arbeiten ich sich fast ausschließlich in mein antrag am linksextremismus und islamismus ab . sich groß programm zur extremismusbekämpfung „ demokratie leben ! “ wollen ich sogar abschaffen .;OTHER
abschließend noch einen kurze bemerkung zu extremismus und terrorismus . ich brauchen neben der interreligiösen dialog , also der dialog zwischen der religionsgemeinschaften , auch der intrareligiösen dialog , der gespräch der gemäßigte , der weltoffenen mit der radikale , mit der gewaltbereiten . nur so erreichen ich fortschritt .;OTHER
in 99 staat gelten gesetz , der religiös gruppe bestrafen , wenn ich versuchen , ander mensch von mein glaube zu überzeugen .;OTHER
schau ich in der sudan . ich geben auch positiv entwicklung : der übergangsregierung im sudan haben der todesstrafe für apostasie abschaffen . ich haben weihnachten zum feiertag erklären .;OTHER
der misstrauen zwischen der religionsgemeinschaften sein nach wie vor groß . ich dürfen nicht hinnehmen , dass der is der religiös landkarte der irak dauerhaft zeichnen .;OTHER
oder schauen ich nach myanmar . dramatisch sein der lage der rohingya . im august 2017 werden circa 720 000 mensch über der grenze getrieben . ich leben dort unter schwierig verhältnis .;OTHER
der passieren , wenn recht und rassisten auch hier im bundestag gegen muslim hetzen , islamismus mit der islam gleichsetzen und dadurch der nährboden für hass und gewaltbereitschaft schaffen .;OTHER
und zunehmen erleben ich auch , dass muslim muslim unterdrücken und problem miteinander haben .;OTHER
wenn sich in einer dramatisch pandemiesituation auch kirche dazu durchringen können , mein gottesdienste einschränken und entsprechend schutzmaßnahmen zu ergreifen , haben der mit einschränkung der religionsfreiheit nun wirklich nichts zu tun .;OTHER
entwicklung zum positive sein immer nur über der frau möglich .;OTHER
deswegen sein dies grundrechte für sich all wichtig , und ich müssen sich auch für all grundrechte einsetzen , unabhängig davon , ob ich persönlich von ich in einer bestimmen moment nutzen ziehen oder nicht .;OTHER
gleichzeitig sagen ich deutlich : ich müssen extremismus mit alle rechtsstaatlichen mittel bekämpfen .;OTHER
aus der zentral grundrecht und zentral menschenrecht der religionsfreiheit heraus leiten ich all ander menschenrechte ab . steht ich um der religionsfreiheit schlecht , so wirken sich der unmittelbar auf der zustand der ander freiheit aus .;OTHER
ich spielen sich als vorderste kämpfer gegen der islamistischen terrorismus auf .;OTHER
wissen ich überhaupt , dass ich verschieden verfassungsschutzbehörden geben , der nachricht miteinander teilen ? ich scheinen , dass ich sich in mein köpfchen einfach ausdenken , wie ich mein können , und der realität , wie ich seit jahrzehnt in dies bundesrepublik sein , gar nicht betrachten .;OTHER
ich sagen : der bundeszentrale für politische bildung muss der kampf gegen extremismus aufnehmen . – der haben ich bereits . ich geben zahlreiche programm – auch aussteigerprogramme , wie von ich fordern – für rechtsextremismus , linksextremismus und islamistischen terrorismus .;OTHER
verschonen ich sich mit mein hass- und hetzrede und mit der unsachlichkeit in mein rede zur sicherheitsarchitektur , damit ich als unionsgeführte bundesregierung hier dies kampf gegen terrorismus aufnehmen können .;OTHER
der islamistischen anschlag der letzt woche sein einen angriff auf mein freie und offen gesellschaft .;OTHER
diese problem ansprechen , sein kein akt der islamfeindlichkeit , sondern der voraussetzung für einen friedlich zusammenleben unter der werteordnung der grundgesetzes .;OTHER
der auftrag gehen aber auch an der konservative in mein land , der immer noch kein friede mit der gedanke schließen haben , dass deutschland einen einwanderungsland sein .;OTHER
ich sage an dies stelle , mein diktion aufgreifen : ich sein stolz , einen liberal toleranzschwachmat zu mein , lieb liberal toleranzschwachmat als rechtsradikal illiberaler völkischer intelligenzschwachmat .;OTHER
der sein nicht nur zutiefst beleidigen für all mensch muslimisch glauben in dies land und auch für derjenige , der als muslimisch lesen und identifizieren werden , ich sein auch noch blank rassismus und nichts ander .;OTHER
dazu , dass ich sich in mein antrag abarbeiten am islamismus , am politisch islam , am legalistischen politisch islam , sage ich hier : ich sein nichts ander als der legalistische arm der rechtsextremismus in dies land , und ich haben ich mit der antrag und sich rede wiederum bestmöglich beweisen .;OTHER
"ich haben aber etwas begriffen , was ich nicht begriffen haben : dass ich eben nicht darum gehen , in der fall österreicherinnen und österreicher gegen migranten ausspielen , dass ich nicht der frage sein „ christ gegen muslim “ , sondern dass ich einen frage der gemeinschaft sein und dass ich einen frage sein von friede gegen krieg , nichts ander sein ich .";OTHER
wenn ich sich nicht ganz falsch erinnern , herr maier – und damit haben ich im grund der idee und der geist mein antrag bestmöglich zusammengefasst – , sagen ich , dass der mehrheit der muslim friedlich sein , nicht weil ich muslim sein , sondern obwohl ich muslim sein .;OTHER
"ohne der teilhabe muslimisch staatsbürger in zentral lebensbereichen lässt sich kein vernünftig prävention organisieren : denn einen groß teil dies mensch sein nicht zu gast hier , sondern werden in deutschland bleiben . mein integration sein teil einer funktionierend islamismusprävention .";OTHER
"deshalb finden ich ich auch erstaunlich , wenn ich in mein text von aussteigerprogrammen reden – ich sein erstaunen , dass ich dies option überhaupt ermöglichen – denn ich haben ja selber vorhin in der rede deutlich machen und in mein antrag , dass ich gar kein ausstieg geben : wenn einen mensch einmal muslimisch sein , sein ich aus sich sicht verlieren , können ich nicht deutscher mein , ich sein denn , ich erklären – wahrscheinlich sein der mein wunsch – mein mitgliedschaft in der afd und schwören der islam ab . aber ich können alle mensch muslimisch glauben nur raten : bitte tun ich der nicht ! ich sein schaden um sich land .";OTHER
zum zweite mögen ich auch darauf hinweisen , dass ich der idee mein verfassung doch mein muss , dass mensch anders mein dürfen , ohne zu ander machen zu werden .;OTHER
genau der erleben ich aber immer in dies debatte : ich machen musliminnen und muslim zu ander , anstatt vielfalt und unterschiedlichkeit anerkennen .;OTHER
ich stehen für der universellen menschenrechte , für einen echte gleichberechtigung von frau , mann und divers sowie für religions- , meinungs- , kunst- und kulturfreiheit .;OTHER
ich müssen bei der gefahrenerkennung und der überwachung von gefährdern und netzwerken endlich gut werden . immer wieder begehen mensch anschlag , der schon längst im blick der sicherheitsbehörden sein , der wahr gefährlichkeit aber nicht erkennen werden .;OTHER
hören ich auf , hass und hetze zu verbreiten , und beenden ich mein versuch , der gesellschaft zu spalten !;OTHER
wichtig sein vor alle ding , dass ich nicht in der falle tappen , der sich der feind der freiheit stellen , nämlich dass ich in der sprache und im umgang selber radikal werden . ich müssen vielmehr versöhnen und der land zusammenfahren .;OTHER
der migrationspolitik haben ich als verfassungswidrig kritisieren .;OTHER
man muss vielleicht manch mal einen plastisch beispiel nehmen : der verfassung sein so tollen , dass ich ich ich auch erlauben , leute im grenzbereich zum rechtsextremismus nicht aus sich partei zu werfen , wie ich ander machen , sondern sogar mit führungspositionen zu versorgen .;OTHER
aber ich mögen gleichen zu beginn sehr klaren sagen : sich kampf gegen terrorismus richten sich nicht gegen der islam , sondern gegen fanatisch und gewalttätig extremismus .;OTHER
ich tun dies im bundesinnenministerium jed tag meistens einig stunde , wie heute vormittag , aber nicht nur anlässlich von anschlag , sondern der sein einen permanente aufgabe .;OTHER
"ich dürfen hier einmal mitteilen , dass ich derzeit 615 islamistische gefährder in deutschland haben : davon sein 217 mit deutsch staatsangehörigkeit , 119 mit einer zweit staatsangehörigkeit neben der deutsch und 279 mit ausländisch staatsangehörigkeit .";OTHER
und natürlich müssen ich ausländische gefährder abschieben , aber eben nur , wenn dies nach international und deutsch recht möglich sein .;OTHER
noch mal : all regelsätze werden steigen . ich geben heute noch mal 1,4 milliarde euro in der system . und , herr minister , bei alle unterschied und detail , über der man immer streiten können , muss man festhalten : der gesetz sein nicht handwerklich schlecht .;OTHER
ich sein mitten in einer krise , der nicht nur einen pandemie sein , sondern auch einen krise der sozial sicherung . denn million von mensch in deutschland sein nicht ausreichen absichern : erwerbslose , kind , rentnerin und rentner , geflüchteter .;OTHER
